name,prep,cook,img,difficulty
Slow-Cooker Barbecue-Braised Ribs,15m,8hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-slow-cooker-barbecue-braised-ribs:Square-1300x1300,2
Jamaican Fish Curry,10m,15m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-jamaican-fish-curry:Square-1300x1300,2
Healthier Slow-Cooked Minestrone Soup,5m,8hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-healthier-slow-cooked-minestrone-soup:Square-1300x1300,2
Slow-Cooker Red Wine-Braised Lamb Shanks,20m,8hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-slow-cooker-red-wine-braised-lamb-shanks:Square-1300x1300,2
Best Slow-Cooker Beef Stroganoff,20m,8hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-best-slow-cooker-beef-stroganoff:Square-1300x1300,2
Slow-Cooker Chicken Fajitas,15m,6hr,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-slow-cooker-chicken-fajitas:Square-1300x1300,2
Easy Slow-Cooker Red Lentil &amp; Sweet Potato Dahl,10m,6hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-easy-slow-cooker-red-lentil-and-sweet-potato-dahl:Square-1300x1300,2
Slow-Cooker Hainanese Chicken Rice,20m,6hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-slow-cooker-hainanese-chicken-rice:Square-1300x1300,2
Slow-Cooked Beef Pho,15m,8hr+,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-slow-cooked-beef-pho:Square-1300x1300,2
One-Pot Cheesy Chicken Noodle Soup,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-one-pot-cheesy-chicken-noodle-soup:Square-1300x1300,2
Mushroom Bolognese,10m,20m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-mushroom-bolognese:Square-1300x1300,2
Quick One-Pot Chicken Cacciatore,5m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-quick-one-pot-chicken-cacciatore:Square-1300x1300,2
Pumpkin &amp; Mushroom Quinoa Risotto,5m,25m,https://foodhub.scene7.com/is/image/woolworthsltdprod/2105-pumpkin-and-mushroom-quinoa-risotto:Square-1300x1300,2
